FID,TYPE,CITY,STATE,ZIP,LATITUDE,LONGITUDE
41497,Self-Service,Newton,NJ,7860,41.056221,-74.747399
41498,Self-Service,Mercerville,NJ,8619,40.2553,-74.680589
41499,Self-Service,Cherry Hill,NJ,8034,39.910178,-74.990678
41500,Self-Service,Hamilton,NJ,8619,40.261326000000004,-74.683687
41501,Self-Service,Bensalem,PA,19020,40.119809000000004,-74.960796
41502,Self-Service,Trenton,NJ,8619,40.260624,-74.676753
41503,Self-Service,Philadelphia,PA,19149,40.048296,-75.06092
41504,Staffed,Mount Laurel,NJ,8054,39.925921,-74.965721
41505,Staffed,Budd Lake,NJ,7828,40.900585,-74.726617
41506,Authorized Ship Center,Philadelphia,PA,19152,40.061799,-75.055911
41507,Self-Service,Lebanon,NJ,8833,40.588446999999995,-74.86761
41508,Self-Service,Mount Laurel,NJ,8054,39.920958,-74.961569
41509,Self-Service,Bound Brook,NJ,8805,40.567240999999996,-74.53869
41510,Self-Service,Cherry Hill,NJ,8003,39.900914,-74.961574
41511,Self-Service,Philadelphia,PA,19152,40.056546000000004,-75.053318
41512,Self-Service,Mount Laurel,NJ,8054,39.92775,-74.962289
41513,Self-Service,Philadelphia,PA,19154,40.109592,-74.974643
41514,Self-Service,Blairstown,NJ,7825,40.983284000000005,-74.95921899999999
41515,Authorized Ship Center,Bound Brook,NJ,8805,40.5674,-74.540151
41516,Self-Service,Mount Laurel,NJ,8054,39.967837,-74.903141
41517,Self-Service,Blairstown,NJ,7825,40.982696999999995,-74.99649699999999
41518,Self-Service,Somerset,NJ,8873,40.53784,-74.540123
41519,Self-Service,Trevose,PA,19053,40.125547999999995,-74.976496
41520,Self-Service,Trevose,PA,19053,40.125608,-74.976493
41521,Self-Service,Mount Laurel,NJ,8054,39.968877,-74.903428
41522,Self-Service,Somerset,NJ,8873,40.542995,-74.517715
41523,Self-Service,Newton,NJ,7860,41.05368,-74.78927900000001
